alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr
0,-0.008,0.00435,0.00082,-0.0008,0.4283,0.399
0.5,0.0532,0.00415,0.00076,-0.0025,0.4182,0.452
1,0.1144,0.00438,0.00084,-0.0041,0.3662,0.4611
2,0.235,0.00521,0.00118,-0.0073,0.1982,0.4713
2.5,0.2945,0.00571,0.00139,-0.0087,0.1066,0.473
3,0.3545,0.00596,0.00152,-0.0101,0.0747,0.4735
3.5,0.4142,0.00621,0.00167,-0.0114,0.0484,0.4738
4,0.4741,0.00639,0.0018,-0.0126,0.0396,0.4739
4.5,0.5338,0.00659,0.00194,-0.0139,0.0331,0.474
5,0.5932,0.00679,0.0021,-0.0151,0.0279,0.4741
6,0.7113,0.00722,0.00245,-0.0174,0.0216,0.4748
6.5,0.7699,0.00744,0.00264,-0.0185,0.019,0.4763
7,0.8279,0.0077,0.00287,-0.0195,0.0168,0.4781
7.5,0.8858,0.00794,0.00309,-0.0205,0.0154,0.4802
8,0.9429,0.00823,0.00336,-0.0213,0.0138,0.4826
9,1.0559,0.00884,0.00393,-0.0229,0.0116,0.4862
10,1.1662,0.00953,0.00459,-0.024,0.0099,0.489
11,1.2725,0.01037,0.00539,-0.0246,0.0085,0.4898
12,1.375,0.01126,0.00628,-0.0246,0.0077,0.4946
13,1.4697,0.01237,0.00739,-0.0235,0.007,0.5014
14,1.5408,0.01399,0.00904,-0.0192,0.0059,0.5143
16,1.6837,0.01871,0.014,-0.0146,0.0056,0.6115
18,1.783,0.02676,0.02217,-0.0081,0.0044,0.6239
20,1.8572,0.03763,0.03322,-0.0028,0.0041,0.6279
22,1.9004,0.0532,0.04903,-0.0007,0.004,0.6395
24,1.8964,0.0753,0.07144,-0.0027,0.0037,0.6497
26,1.8364,0.10632,0.10305,-0.0122,0.0033,0.765
28,1.728,0.14664,0.14386,-0.0327,0.0029,0.7683
30,1.5146,0.21289,0.21088,-0.0837,0.0028,0.772
-0.5,-0.0693,0.00443,0.00084,0.0007,0.4343,0.3765
-1,-0.1306,0.00449,0.00087,0.0022,0.435,0.3639
-1.5,-0.1918,0.00459,0.00091,0.0037,0.4353,0.3475
-2.5,-0.3115,0.00553,0.00129,0.0068,0.4367,0.1738
-3,-0.3714,0.00581,0.00143,0.0082,0.4421,0.128
-3.5,-0.4313,0.00604,0.00157,0.0095,0.4462,0.1008
-4,-0.4911,0.00626,0.00171,0.0108,0.4483,0.0808
-4.5,-0.5501,0.00658,0.00191,0.0121,0.4502,0.051
-5,-0.6093,0.00682,0.00209,0.0133,0.4519,0.0384
-6,-0.7271,0.00725,0.00245,0.0156,0.4627,0.0264
-7,-0.8442,0.00753,0.00286,0.0181,0.543,0.0203
-8,-0.9592,0.00802,0.00336,0.0201,0.5812,0.0153
-9,-1.0724,0.00856,0.00395,0.0218,0.6275,0.0126
-10,-1.1831,0.0092,0.00464,0.0232,0.6748,0.0107
-12,-1.3918,0.01102,0.00642,0.0241,0.6957,0.0076
-14,-1.5614,0.01368,0.0091,0.0194,0.7106,0.0064
-16,-1.6965,0.01885,0.01435,0.014,0.7258,0.0053
-18,-1.7961,0.0268,0.0224,0.0077,0.736,0.0046
-20,-1.8612,0.03905,0.03484,0.0034,0.7483,0.0037
-22,-1.897,0.05539,0.05145,0.0019,0.7714,0.0037
-24,-1.889,0.07847,0.07495,0.0054,0.8279,0.0036
-26,-1.8228,0.11005,0.10726,0.0151,1,0.0033
-28,-1.6912,0.15446,0.15222,0.039,1,0.003
-29,-1.57,0.18929,0.18747,0.0649,1,0.003
-30,-1.3978,0.2404,0.23915,0.1076,1,0.0028
